project_id,title,author,views,loves,favorites,comments,remix_count,theme,source,love_rate,favorite_rate,remix_rate,engagement_score,number_of_sprites,number_of_blocks,number_of_scripts,scripts_per_sprite,broadcasts,clones,custom_blocks,advanced_feature_count,complexity_score
407185128,Siblings (animation),violet_raven,93317,10837,8972,0,0,animation,scratch_search_popular,0.1161310372172273,0.0961453968730242,0.0,0.0732974699143778,2,285,17,8.5,25,0,21,46,1855.0
477695405,SVE tutorial!,Waleo,23850,2857,2101,0,0,tutorial,scratch_search_popular,0.1197903563941299,0.0880922431865828,0.0,0.0711740041928721,2,59,3,1.5,0,0,0,0,109.0
916407100,Coding Tutorial,CapitanFluffy,18053,1786,1580,0,0,tutorial,scratch_search_popular,0.0989309256079322,0.0875200797651359,0.0,0.064687309588434,18,1062,70,3.888888888888889,38,14,8,60,3119.777777777778
165284258,Scratch: Story Mode - Season 2 | Episode 1,-Cinematic-,73226,6635,5907,0,0,story,scratch_search_popular,0.0906098926610766,0.0806680687187611,0.0,0.0594501952858274,50,8492,549,10.98,633,0,0,633,28201.6
269109930,BULLYING (Animation),Mushy_Mushi,36391,3487,2725,0,0,animation,scratch_search_popular,0.0958203951526476,0.0748811519331702,0.0,0.0586985793190624,6,257,18,3.0,23,0,0,23,1067.0
141178763,Nano's Story,M_axj,24975,2167,1967,0,0,story,scratch_search_popular,0.0867667667667667,0.0787587587587587,0.0,0.0575335335335335,80,10508,1158,14.475,1118,10,0,1128,45437.5
554226832,Kleki tutorial,cherrei,24987,2483,1604,0,0,tutorial,scratch_search_popular,0.0993716732701004,0.0641933805578901,0.0,0.0554888542041861,10,135,36,3.6,21,3,0,24,1027.0
468866971,Animated thumbnail tutorial!!!,737942,29751,2610,2123,0,0,tutorial,scratch_search_popular,0.087728143591812,0.0713589459177842,0.0,0.0548620214446573,3,251,23,7.666666666666667,3,15,16,34,1454.3333333333335
561301500,Loading... (a game),Max-0,134285,10801,9552,0,0,game,scratch_search_popular,0.0804334065606732,0.071132293256879,0.0,0.0525829392709535,28,5724,229,8.178571428571429,116,110,260,486,20747.571428571428
397530232,THE LAZY! (Animation),-BoyMcBoy-,104428,8387,7143,0,0,animation,scratch_search_popular,0.0803137089669437,0.0684011950817788,0.0,0.0514545907227946,2,202,11,5.5,9,6,0,15,782.0
119889912,Scratch: Story Mode | Trailer,-Cinematic-,39230,3133,2615,0,0,story,scratch_search_popular,0.0798623502421616,0.0666581697680346,0.0,0.0506219729798623,13,266,38,2.923076923076923,39,0,0,39,1624.4615384615386
494719268,Glitch Effect Tutorial,Daizy_Gaming,33355,2691,2101,0,0,tutorial,scratch_search_popular,0.0806775595862689,0.0629890571128766,0.0,0.0493988907210313,1,35,7,7.0,0,0,0,0,185.0
174052269,Animation Tutorial,FUZZIE-WEASEL,76260,5456,4649,0,0,animation,scratch_search_popular,0.0715447154471544,0.0609624967217414,0.0,0.0458484133228429,14,512,35,2.5,0,8,8,16,1182.0
423044427,Animation Tutorial ,TheInternetIsCoool,117954,8135,7377,0,0,animation,scratch_search_popular,0.0689675636264984,0.0625413296708886,0.0,0.045706800956305,9,365,63,7.0,38,9,0,47,2005.0
